country,league,league_stage,time,home_team,ft_home_score,ft_away_score,away_team,ht_home_score,ht_away_score
ITALY,Serie A,Round 38,22.05. 21:45,AS Roma,3,1,Sampdoria,1,1
ITALY,Serie A,Round 38,22.05. 21:45,Juventus,2,2,Napoli,0,1
ITALY,Serie A,Round 38,22.05. 21:45,Lecce,2,4,Lazio,2,2
ITALY,Serie A,Round 38,22.05. 21:45,Udinese,0,0,AC Milan,0,0
ITALY,Serie A,Round 38,22.05. 19:00,Bologna,0,4,Bari,0,1
ITALY,Serie A,Round 38,22.05. 19:00,Brescia,2,2,Fiorentina,1,1
ITALY,Serie A,Round 38,22.05. 19:00,Cagliari,1,1,Parma,0,1
ITALY,Serie A,Round 38,22.05. 19:00,Genoa,3,2,Cesena,3,0
ITALY,Serie A,Round 38,22.05. 19:00,Inter,3,1,Catania,1,0
ITALY,Serie A,Round 38,22.05. 19:00,Palermo,1,3,Chievo,1,1
